ASV,Kingdom,Domain,Phylum,Class,Order,Family,Genus,Species,taxonomy,Supergroup,Division
ASV_2185,TSAR,Eukaryota,not_provided,Opalozoa,Opalozoa_X,MAST-12,MAST-12A,MAST-12A_sp.,not_provided,Stramenopiles,Bigyra
ASV_2186,TSAR,Eukaryota,not_provided,Noctilucophyceae,Noctilucales,Noctilucaceae,Noctiluca,Noctiluca_scintillans,not_provided,Alveolata,Dinoflagellata
ASV_2187,Archaeplastida,Eukaryota,not_provided,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Robinia_plant,Robinia_pseudoacacia,not_provided,Streptophyta,Streptophyta_X
ASV_2188,TSAR,Eukaryota,not_provided,Dinophyceae,not_provided,not_provided,not_provided,not_provided,not_provided,Alveolata,Dinoflagellata
ASV_2189,TSAR,Eukaryota,not_provided,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,Protoperidinium_claudicans,not_provided,Alveolata,Dinoflagellata
ASV_2190,Eukaryota,not_provided,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,Amoebophrya,unassigned,not_provided,not_provided,not_provided
ASV_2191,TSAR,Eukaryota,not_provided,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,Heterocapsa_nei/rotundata,not_provided,Alveolata,Dinoflagellata
ASV_2192,Eukaryota,not_provided,Chlorophyta,Nephroselmidophyceae,Nephroselmidales,Nephroselmidaceae,Nephroselmis,Nephroselmis pyriformis,not_provided,not_provided,not_provided
ASV_2193,Eukaryota,not_provided,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote,not_provided,not_provided,not_provided
ASV_2194,TSAR,Eukaryota,not_provided,Dinophyceae,not_provided,not_provided,not_provided,not_provided,not_provided,Alveolata,Dinoflagellata
ASV_2195,Obazoa,Eukaryota,not_provided,Choanoflagellatea,Acanthoecida,Stephanoecidae_Group_H,Stephanoecidae_Group_H_X,Stephanoecidae_Group_H_X_sp.,not_provided,Opisthokonta,Choanoflagellata
ASV_2196,Haptista,Eukaryota,not_provided,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina_sp.,not_provided,Haptophyta,Haptophyta_X
ASV_2197,Eukaryota,not_provided,Bacillariophyta,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,unassigned,not_provided,not_provided,not_provided
ASV_2198,TSAR,Eukaryota,not_provided,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-14,Dino-Group-II-Clade-14_X,Dino-Group-II-Clade-14_X_sp.,not_provided,Alveolata,Dinoflagellata
ASV_2199,TSAR,Eukaryota,not_provided,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-30,Dino-Group-II-Clade-30_X,Dino-Group-II-Clade-30_X_sp.,not_provided,Alveolata,Dinoflagellata
ASV_2200,TSAR,Eukaryota,not_provided,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum_sp.,not_provided,Alveolata,Dinoflagellata
ASV_2201,TSAR,Eukaryota,not_provided,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-3,Dino-Group-II-Clade-3_X,Dino-Group-II-Clade-3_X_sp.,not_provided,Alveolata,Dinoflagellata
ASV_2202,TSAR,Eukaryota,not_provided,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-1,Dino-Group-II-Clade-1_X,Dino-Group-II-Clade-1_X_sp.,not_provided,Alveolata,Dinoflagellata
ASV_2203,TSAR,Eukaryota,not_provided,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,not_provided,not_provided,Alveolata,Dinoflagellata
ASV_2204,not_provided,Eukaryota,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided
ASV_2205,Eukaryota,not_provided,Cercozoa,Thecofilosea,unknown,unknown,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_2206,unassigned,not_provided,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_2207,Eukaryota,not_provided,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,unassigned,not_provided,not_provided,not_provided
ASV_2208,Eukaryota,not_provided,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_2209,TSAR,Eukaryota,not_provided,Chrysophyceae,Chrysophyceae_Clade-EC2H,Chrysophyceae_Clade-EC2H_X,Chrysophyceae_Clade-EC2H_XX,Chrysophyceae_Clade-EC2H_XX_sp.,not_provided,Stramenopiles,Gyrista
ASV_2210,TSAR,Eukaryota,not_provided,Opalozoa,Nanomonadea,MAST-3,MAST-3E,MAST-3E_sp.,not_provided,Stramenopiles,Bigyra
ASV_2211,TSAR,Eukaryota,not_provided,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-5,Dino-Group-I-Clade-5_X,Dino-Group-I-Clade-5_X_sp.,not_provided,Alveolata,Dinoflagellata
ASV_2212,TSAR,Eukaryota,not_provided,Spirotrichea,Oligotrichida,Strombidiidae,Strombidiidae_X,Strombidiidae_X_sp.,not_provided,Alveolata,Ciliophora
ASV_2213,Eukaryota,not_provided,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote,not_provided,not_provided,not_provided
ASV_2214,TSAR,Eukaryota,not_provided,Polycystinea,Nassellaria,Cannobotryidae,Cannobotryidae_X,Cannobotryidae_X_sp.,not_provided,Rhizaria,Radiolaria
ASV_2215,TSAR,Eukaryota,not_provided,Filosa-Thecofilosea,Ebriacea,TAGIRI1-lineage,TAGIRI1-lineage_X,TAGIRI1-lineage_X_sp.,not_provided,Rhizaria,Cercozoa
ASV_2216,TSAR,Eukaryota,not_provided,Filosa-Thecofilosea,Ebriacea,TAGIRI1-lineage,TAGIRI1-lineage_X,TAGIRI1-lineage_X_sp.,not_provided,Rhizaria,Cercozoa
ASV_2217,Eukaryota,not_provided,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Mamiella,unassigned,not_provided,not_provided,not_provided
ASV_2218,Haptista,Eukaryota,not_provided,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis_globosa,not_provided,Haptophyta,Haptophyta_X
ASV_2219,Eukaryota,not_provided,unknown,Oomycota,unassigned,unassigned,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_2220,Archaeplastida,Eukaryota,not_provided,Picozoa_XX,Picozoa_XXX,Picozoa_XXXX,Picozoa_XXXXX,Picozoa_XXXXX_sp.,not_provided,Picozoa,Picozoa_X
ASV_2221,TSAR,Eukaryota,not_provided,Chlorarachniophyceae,Chlorarachnida,Chlorarachnida_X,Chlorarachnida_XX,Chlorarachnida_XX_sp.,not_provided,Rhizaria,Cercozoa
ASV_2222,Archaeplastida,Eukaryota,not_provided,Picozoa_XX,Picozoa_XXX,Picozoa_XXXX,Picozoa_XXXXX,Picozoa_XXXXX_sp.,not_provided,Picozoa,Picozoa_X
ASV_2223,TSAR,Eukaryota,not_provided,Filosa-Imbricatea,Filosa-Imbricatea_X,Novel-clade-2,Novel-clade-2_X,Novel-clade-2_X_sp.,not_provided,Rhizaria,Cercozoa
ASV_2224,TSAR,Eukaryota,not_provided,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-13,Dino-Group-II-Clade-13_X,Dino-Group-II-Clade-13_X_sp.,not_provided,Alveolata,Dinoflagellata
ASV_2225,TSAR,Eukaryota,not_provided,Bacillariophyceae,Naviculales,Plagiotropidaceae,Meuniera,Meuniera_membranacea,not_provided,Stramenopiles,Gyrista
ASV_2226,Archaeplastida,Eukaryota,not_provided,Picozoa_XX,Picozoa_XXX,Picozoa_XXXX,Picozoa_XXXXX,Picozoa_XXXXX_sp.,not_provided,Picozoa,Picozoa_X
ASV_2227,Eukaryota,not_provided,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_2228,unassigned,not_provided,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_2229,TSAR,Eukaryota,not_provided,Filosa-Thecofilosea,Ventricleftida,Ventrifissuridae,Ventrifissuridae_X,Ventrifissuridae_X_sp.,not_provided,Rhizaria,Cercozoa
ASV_2230,TSAR,Eukaryota,not_provided,Mediophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,Skeletonema_pseudocostatum,not_provided,Stramenopiles,Gyrista
ASV_2231,Obazoa,Eukaryota,not_provided,Mollusca,Bivalvia,Mytiloida,Mytilus,Mytilus_californianus,not_provided,Opisthokonta,Metazoa
ASV_2232,Eukaryota,not_provided,Imbricatea,unknown,Thaumatomonadida,Thaumatomastigidae,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_2233,Eukaryota,not_provided,unknown,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Amylax,Amylax triacantha,not_provided,not_provided,not_provided
ASV_2234,Eukaryota,not_provided,unknown,Dinophyceae,Gymnodiniales,Amphilothaceae,Achradina,Achradina pulchra,not_provided,not_provided,not_provided
ASV_2235,Eukaryota,not_provided,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_2236,TSAR,Eukaryota,not_provided,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-1,Dino-Group-II-Clade-1_X,Dino-Group-II-Clade-1_X_sp.,not_provided,Alveolata,Dinoflagellata
ASV_2237,TSAR,Eukaryota,not_provided,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,not_provided,not_provided,Stramenopiles,Gyrista
ASV_2238,TSAR,Eukaryota,not_provided,Filosa-Imbricatea,Marimonadida,Marimonadida_X,Marimonadida_XX,Marimonadida_XX_sp.,not_provided,Rhizaria,Cercozoa
ASV_2239,TSAR,Eukaryota,not_provided,Sagenista,Sagenista_X,MAST-7,MAST-7E,MAST-7E_sp.,not_provided,Stramenopiles,Bigyra
ASV_2240,TSAR,Eukaryota,not_provided,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-5,Dino-Group-II-Clade-5_X,Dino-Group-II-Clade-5_X_sp.,not_provided,Alveolata,Dinoflagellata
ASV_2241,Eukaryota,not_provided,unknown,Cryptophyceae,Cryptomonadales,Hemiselmidaceae,Hemiselmis,Hemiselmis cryptochromatica,not_provided,not_provided,not_provided
ASV_2242,Eukaryota,not_provided,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Lauderiaceae,Lauderia,Lauderia borealis,not_provided,not_provided,not_provided
ASV_2243,Eukaryota,not_provided,Chordata,Actinopteri,unassigned,unassigned,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_2244,Eukaryota,not_provided,Cercozoa,unassigned,unassigned,unassigned,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_2245,TSAR,Eukaryota,not_provided,Mediophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros_didymus_2,not_provided,Stramenopiles,Gyrista
ASV_2246,Haptista,Eukaryota,not_provided,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina_sp.,not_provided,Haptophyta,Haptophyta_X
ASV_2247,Eukaryota,not_provided,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_2248,Eukaryota,not_provided,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Paragymnodinium,unassigned,not_provided,not_provided,not_provided
ASV_2249,Eukaryota,not_provided,unknown,Bigyra,Nanomonadea,unknown,Incisomonas,unassigned,not_provided,not_provided,not_provided
ASV_2250,Eukaryota,not_provided,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_2251,TSAR,Eukaryota,not_provided,Spirotrichea,Choreotrichida-Tintinnina,Xystonellidae,Parafavella,not_provided,not_provided,Alveolata,Ciliophora
ASV_2252,TSAR,Eukaryota,not_provided,Bacillariophyceae,Naviculales,Plagiotropidaceae,Meuniera,Meuniera_membranacea,not_provided,Stramenopiles,Gyrista
ASV_2253,TSAR,Eukaryota,not_provided,Mediophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros_anastomosans,not_provided,Stramenopiles,Gyrista
ASV_2254,Eukaryota,not_provided,unknown,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Ensiculifera,Ensiculifera imariensis,not_provided,not_provided,not_provided
ASV_2255,TSAR,Eukaryota,not_provided,Sagenista,Labyrinthulomycetes,Thraustochytriaceae,Thraustochytriaceae_X,Thraustochytriaceae_X_sp.,not_provided,Stramenopiles,Bigyra
ASV_2256,Eukaryota,not_provided,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_2257,TSAR,Eukaryota,not_provided,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,Heterocapsa_steinii,not_provided,Alveolata,Dinoflagellata
ASV_2258,TSAR,Eukaryota,not_provided,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-1,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1_X_sp.,not_provided,Alveolata,Dinoflagellata
ASV_2259,TSAR,Eukaryota,not_provided,Spirotrichea,Choreotrichida-Tintinnina,TIN_07,Tintinnopsis_07,Tintinnopsis_07_sp.,not_provided,Alveolata,Ciliophora
ASV_2260,Haptista,Eukaryota,not_provided,Prymnesiophyceae,Prymnesiophyceae_Clade_D,Prymnesiophyceae_Clade_D_X,Prymnesiophyceae_Clade_D_XX,Prymnesiophyceae_Clade_D_XX_sp.,not_provided,Haptophyta,Haptophyta_X
ASV_2261,Eukaryota,not_provided,unknown,Dinophyceae,Syndiniales,unassigned,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_2262,Eukaryota,not_provided,Cercozoa,Thecofilosea,Cryomonadida,Protaspidae,Cryothecomonas,unassigned,not_provided,not_provided,not_provided
ASV_2263,Eukaryota,not_provided,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,Amoebophrya,unassigned,not_provided,not_provided,not_provided
ASV_2264,Obazoa,Eukaryota,not_provided,Cnidaria,Cnidaria_X,Hydrozoa,Ectopleura,not_provided,not_provided,Opisthokonta,Metazoa
ASV_2265,Eukaryota,not_provided,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_2266,Eukaryota,not_provided,Mollusca,Bivalvia,Veneroida,unassigned,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_2267,Obazoa,Eukaryota,not_provided,Arthropoda,Crustacea,Maxillopoda,Acartia,not_provided,not_provided,Opisthokonta,Metazoa
ASV_2268,Cryptista:nucl,Eukaryota:nucl,not_provided,Cryptophyceae:nucl,Cryptomonadales:nucl,Cryptomonadales_X:nucl,Plagioselmis:nucl,Plagioselmis_lacustris:nucl,not_provided,Cryptophyta:nucl,Cryptophyta_X:nucl
ASV_2269,TSAR,Eukaryota,not_provided,Coscinodiscophyceae,Asterolamprales,Asterolampraceae,Asteromphalus,Asteromphalus_sp.,not_provided,Stramenopiles,Gyrista
ASV_2270,Eukaryota,not_provided,unknown,unknown,unknown,unknown,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_2271,Eukaryota,not_provided,Ciliophora,Spirotrichea,Tintinnida,Tintinnidae,Amphorides,Amphorides quadrilineata,not_provided,not_provided,not_provided
ASV_2272,TSAR,Eukaryota,not_provided,Dinophyceae,not_provided,not_provided,not_provided,not_provided,not_provided,Alveolata,Dinoflagellata
ASV_2273,Eukaryota,not_provided,Imbricatea,unknown,Thaumatomonadida,Thaumatomastigidae,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_2274,TSAR,Eukaryota,not_provided,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-5,Dino-Group-II-Clade-5_X,Dino-Group-II-Clade-5_X_sp.,not_provided,Alveolata,Dinoflagellata
ASV_2275,Eukaryota,not_provided,unknown,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Ensiculifera,Ensiculifera imariensis,not_provided,not_provided,not_provided
ASV_2276,TSAR,Eukaryota,not_provided,Filosa-Imbricatea,Filosa-Imbricatea_X,Novel-clade-2,Novel-clade-2_X,Novel-clade-2_X_sp.,not_provided,Rhizaria,Cercozoa
ASV_2277,TSAR,Eukaryota,not_provided,Dinophyceae,not_provided,not_provided,not_provided,not_provided,not_provided,Alveolata,Dinoflagellata
ASV_2278,TSAR,Eukaryota,not_provided,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-7,Dino-Group-I-Clade-7_X,Dino-Group-I-Clade-7_X_sp.,not_provided,Alveolata,Dinoflagellata
ASV_2279,TSAR,Eukaryota,not_provided,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,Heterocapsa_steinii,not_provided,Alveolata,Dinoflagellata
ASV_2280,Eukaryota,not_provided,unknown,Dinophyceae,unknown,unknown,Theleodinium,Theleodinium calcisporum,not_provided,not_provided,not_provided
ASV_2281,TSAR,Eukaryota,not_provided,Telonemia_XX,Telonemia_XXX,Telonemia-Group-2,Telonemia-Group-2_X,Telonemia-Group-2_X_sp.,not_provided,Telonemia,Telonemia_X
ASV_2282,TSAR,Eukaryota,not_provided,Bolidophyceae,Parmales,Parmales_X,Parmales_XX,Parmales_XX_sp.,not_provided,Stramenopiles,Gyrista
ASV_2283,TSAR,Eukaryota,not_provided,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium_sp.,not_provided,Alveolata,Dinoflagellata
ASV_2284,Archaeplastida,Eukaryota,not_provided,Florideophyceae,Ceramiales,Ceramiaceae,Antithamnionella,not_provided,not_provided,Rhodophyta,Rhodophyta_X
ASV_2285,TSAR,Eukaryota,not_provided,Opalozoa,Nanomonadea,MAST-3,MAST-3H,MAST-3H_sp.,not_provided,Stramenopiles,Bigyra
ASV_2286,TSAR,Eukaryota,not_provided,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,Tripos_contrarius,not_provided,Alveolata,Dinoflagellata
ASV_2287,TSAR,Eukaryota,not_provided,Dinophyceae,Peridiniales,Amphidomataceae,Azadinium,Azadinium_trinitatum,not_provided,Alveolata,Dinoflagellata
ASV_2288,TSAR,Eukaryota,not_provided,Dictyochophyceae,Dictyochophyceae_X,Pedinellales,Pedinellales_X,Pedinellales_X_sp.,not_provided,Stramenopiles,Gyrista
ASV_2289,unassigned,not_provided,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_2290,Obazoa,Eukaryota,not_provided,Choanoflagellatea,Acanthoecida,Stephanoecidae_Group_H,Stephanoecidae_Group_H_X,Stephanoecidae_Group_H_X_sp.,not_provided,Opisthokonta,Choanoflagellata
ASV_2291,TSAR,Eukaryota,not_provided,Pelagophyceae,Pelagomonadales,Pelagomonadaceae,Aureococcus,Aureococcus_anophagefferens,not_provided,Stramenopiles,Gyrista
ASV_2292,not_provided,Eukaryota,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided
ASV_2293,TSAR,Eukaryota,not_provided,Spirotrichea,Choreotrichida,Strobilidiidae,Pelagostrobilidium,Pelagostrobilidium_paraepacrum,not_provided,Alveolata,Ciliophora
ASV_2294,TSAR,Eukaryota,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,Rhizaria,Cercozoa
ASV_2295,TSAR,Eukaryota,not_provided,Sagenista,Labyrinthulomycetes,Thraustochytriaceae,Thraustochytriaceae_LAB17,Thraustochytriaceae_LAB17_sp.,not_provided,Stramenopiles,Bigyra
ASV_2296,TSAR,Eukaryota,not_provided,Filosa-Thecofilosea,Filosa-Thecofilosea_X,Mataza-lineage,Mataza-lineage_X,Mataza-lineage_X_sp.,not_provided,Rhizaria,Cercozoa
ASV_2297,TSAR,Eukaryota,not_provided,Dictyochophyceae,Dictyochophyceae_X,Florenciellales,Pseudochattonella,Pseudochattonella_sp.,not_provided,Stramenopiles,Gyrista
ASV_2298,TSAR,Eukaryota,not_provided,Mediophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros_brevis_3,not_provided,Stramenopiles,Gyrista
ASV_2299,Eukaryota,not_provided,unknown,unknown,unknown,unknown,unknown,uncultured marine eukaryote,not_provided,not_provided,not_provided
ASV_2300,TSAR,Eukaryota,not_provided,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,Dinophyceae_XXX_sp.,not_provided,Alveolata,Dinoflagellata
ASV_2301,Eukaryota,not_provided,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_2302,Eukaryota,not_provided,unknown,Dinophyceae,Peridiniales,Protoperidiniaceae,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_2303,TSAR,Eukaryota,not_provided,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,Melosira_arctica,not_provided,Stramenopiles,Gyrista
ASV_2304,TSAR,Eukaryota,not_provided,Mediophyceae,Thalassiosirales,Stephanodiscaceae,Cyclotella,Cyclotella_striata,not_provided,Stramenopiles,Gyrista
ASV_2305,TSAR,Eukaryota,not_provided,Chrysophyceae,Chrysophyceae_Clade-EC2H,Chrysophyceae_Clade-EC2H_X,Chrysophyceae_Clade-EC2H_XX,Chrysophyceae_Clade-EC2H_XX_sp.,not_provided,Stramenopiles,Gyrista
ASV_2306,TSAR,Eukaryota,not_provided,Filosa-Imbricatea,Filosa-Imbricatea_X,Novel-clade-2,Novel-clade-2_X,Novel-clade-2_X_sp.,not_provided,Rhizaria,Cercozoa
ASV_2307,TSAR,Eukaryota,not_provided,Dinophyceae,Peridiniales,Thoracosphaeraceae,Luciella,Luciella_sp.,not_provided,Alveolata,Dinoflagellata
ASV_2308,TSAR,Eukaryota,not_provided,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Margalefidinium,Margalefidinium_fulvescens,not_provided,Alveolata,Dinoflagellata
ASV_2309,Eukaryota,not_provided,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_2310,TSAR,Eukaryota,not_provided,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-4,Dino-Group-II-Clade-4_X,Dino-Group-II-Clade-4_X_sp.,not_provided,Alveolata,Dinoflagellata
ASV_2311,TSAR,Eukaryota,not_provided,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-23,Dino-Group-II-Clade-23_X,Dino-Group-II-Clade-23_X_sp.,not_provided,Alveolata,Dinoflagellata
ASV_2312,TSAR,Eukaryota,not_provided,Dinophyceae,Peridiniales,Thoracosphaeraceae,Stoeckeria,Stoeckeria_algicida,not_provided,Alveolata,Dinoflagellata
ASV_2313,TSAR,Eukaryota,not_provided,Chrysophyceae,Chrysophyceae_Clade-EC2H,Chrysophyceae_Clade-EC2H_X,Chrysophyceae_Clade-EC2H_XX,Chrysophyceae_Clade-EC2H_XX_sp.,not_provided,Stramenopiles,Gyrista
ASV_2314,Eukaryota,not_provided,Cercozoa,unknown,unknown,unknown,Quadricilia,Quadricilia rotundata,not_provided,not_provided,not_provided
ASV_2315,Eukaryota,not_provided,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote,not_provided,not_provided,not_provided
ASV_2316,Obazoa,Eukaryota,not_provided,Chytridiomycota,Rhizophydiales,Rhizophydiales_X,Rhizophydiales_XX,Rhizophydiales_XX_sp.,not_provided,Opisthokonta,Fungi
ASV_2317,Haptista,Eukaryota,not_provided,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis_pouchetii,not_provided,Haptophyta,Haptophyta_X
ASV_2318,TSAR,Eukaryota,not_provided,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-12,Dino-Group-II-Clade-12_X,Dino-Group-II-Clade-12_X_sp.,not_provided,Alveolata,Dinoflagellata
ASV_2319,Eukaryota,not_provided,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,unassigned,not_provided,not_provided,not_provided
ASV_2320,TSAR,Eukaryota,not_provided,MOCH-2,MOCH-2_X,MOCH-2_XX,MOCH-2_XXX,MOCH-2_XXX_sp.,not_provided,Stramenopiles,Gyrista
ASV_2321,TSAR,Eukaryota,not_provided,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-1,Dino-Group-II-Clade-1_X,Dino-Group-II-Clade-1_X_sp.,not_provided,Alveolata,Dinoflagellata
ASV_2322,Obazoa,Eukaryota,not_provided,Rotifera,Rotifera_X,Rotifera_XX,Brachionus,not_provided,not_provided,Opisthokonta,Metazoa
ASV_2323,Eukaryota,not_provided,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_2324,Haptista,Eukaryota,not_provided,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina_sp.,not_provided,Haptophyta,Haptophyta_X
ASV_2325,Eukaryota,not_provided,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros tenuissimus,not_provided,not_provided,not_provided
ASV_2326,Haptista,Eukaryota,not_provided,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina_sp.,not_provided,Haptophyta,Haptophyta_X
ASV_2327,Eukaryota,not_provided,Haptista,Centroplasthelida,Pterocystida,Pterocystidae,Pterocystis,unassigned,not_provided,not_provided,not_provided
ASV_2328,Eukaryota,not_provided,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote,not_provided,not_provided,not_provided
ASV_2329,Eukaryota,not_provided,unknown,unknown,unknown,unknown,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_2330,Eukaryota,not_provided,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned,not_provided,not_provided,not_provided
ASV_2331,Eukaryota,not_provided,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,Amoebophrya,unassigned,not_provided,not_provided,not_provided
ASV_2332,Eukaryota,not_provided,unknown,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Ensiculifera,unassigned,not_provided,not_provided,not_provided
ASV_2333,Eukaryota,not_provided,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,Rhizosolenia setigera,not_provided,not_provided,not_provided
ASV_2334,TSAR,Eukaryota,not_provided,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira_anguste-lineata,not_provided,Stramenopiles,Gyrista
ASV_2335,TSAR,Eukaryota,not_provided,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-10-and-11,Dino-Group-II-Clade-10-and-11_X,Dino-Group-II-Clade-10-and-11_X_sp.,not_provided,Alveolata,Dinoflagellata
ASV_2336,Eukaryota,not_provided,Cercozoa,Thecofilosea,Cryomonadida,Protaspidae,Cryothecomonas,unassigned,not_provided,not_provided,not_provided
ASV_2337,TSAR,Eukaryota,not_provided,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium_fusiforme,not_provided,Alveolata,Dinoflagellata
ASV_2338,TSAR,Eukaryota,not_provided,Spirotrichea,Oligotrichida,Tontoniidae,Laboea,Laboea_strobila,not_provided,Alveolata,Ciliophora
ASV_2339,TSAR,Eukaryota,not_provided,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-7,Dino-Group-II-Clade-7_X,Dino-Group-II-Clade-7_X_sp.,not_provided,Alveolata,Dinoflagellata
ASV_2340,Eukaryota,not_provided,Haptista,Haptophyta,Prymnesiales,Prymnesiaceae,Prymnesium,Prymnesium palpebrale,not_provided,not_provided,not_provided
